Sample name,ORO Positivity (%)
Mmus_BAL-TAL_LVR_GC_Rep1_G1,9.65
Mmus_BAL-TAL_LVR_GC_Rep2_G2,6.68
Mmus_BAL-TAL_LVR_GC_Rep3_G3,21.84
Mmus_BAL-TAL_LVR_GC_Rep6_G7,13.86
Mmus_BAL-TAL_LVR_GC_Rep4_G5,3.82
Mmus_BAL-TAL_LVR_GC_Rep5_G6,12.98
Mmus_BAL-TAL_LVR_FLT_Rep1_F1,21.68
Mmus_BAL-TAL_LVR_FLT_Rep2_F2,21.92
Mmus_BAL-TAL_LVR_FLT_Rep3_F3,21.94
Mmus_BAL-TAL_LVR_FLT_Rep4_F4,13.62
Mmus_BAL-TAL_LVR_FLT_Rep5_F5,13.52
Mmus_BAL-TAL_LVR_FLT_Rep6_F6,15.6
Mmus_BAL-TAL_LVR_BSL_Rep2_B2,22.13
Mmus_BAL-TAL_LVR_BSL_Rep3_B3,15.03
Mmus_BAL-TAL_LVR_BSL_Rep4_B4,18.58
Mmus_BAL-TAL_LVR_BSL_Rep5_B6,7.61
Mmus_BAL-TAL_LVR_BSL_Rep6_B7,18.7
