Sample name,ORO Positivity (%),Dataset,Environment
Mmus_C57-6T_LVR_GC_Rep1_G2,14.49,OSD-47,GC
Mmus_C57-6T_LVR_GC_Rep2_G3,13.96,OSD-47,GC
Mmus_C57-6T_LVR_GC_Rep3_G5,17.35,OSD-47,GC
Mmus_C57-6T_LVR_FLT_Rep1_F1,23.56,OSD-47,FLT
Mmus_C57-6T_LVR_FLT_Rep2_F2,25.56,OSD-47,FLT
Mmus_C57-6T_LVR_FLT_Rep3_F4,16.28,OSD-47,FLT
Mmus_C57-6T_LVR_BSL_Rep1_B1,23.8,OSD-47,GC
Mmus_C57-6T_LVR_BSL_Rep2_B2,19.79,OSD-47,GC
Mmus_C57-6T_LVR_BSL_Rep3_B3,17.44,OSD-47,GC
Mmus_C57-6J_LVR_GC_I_Rep1_M31,1.34,OSD-48,GC
Mmus_C57-6J_LVR_GC_I_Rep2_M32,0.91,OSD-48,GC
Mmus_C57-6J_LVR_FLT_C_Rep1_M25,7.11,OSD-48,FLT
Mmus_C57-6J_LVR_FLT_C_Rep2_M26,6.68,OSD-48,FLT
Mmus_C57-6J_LVR_FLT_C_Rep3_M27,13.45,OSD-48,FLT
Mmus_C57-6J_LVR_FLT_C_Rep4_M28,26.94,OSD-48,FLT
Mmus_C57-6J_LVR_FLT_C_Rep5_M30,23.72,OSD-48,FLT
Mmus_C57-6J_LVR_FLT_I_Rep1_M21,14.4,OSD-48,FLT
Mmus_C57-6J_LVR_FLT_I_Rep2_M22,24.7,OSD-48,FLT
Mmus_C57-6J_LVR_GC_C_Rep1_M36,3.82,OSD-48,GC
Mmus_C57-6J_LVR_GC_C_Rep2_M37,4.79,OSD-48,GC
Mmus_C57-6J_LVR_GC_C_Rep3_M38,11.66,OSD-48,GC
Mmus_C57-6J_LVR_GC_C_Rep4_M39,5.35,OSD-48,GC
Mmus_C57-6J_LVR_GC_C_Rep5_M40,10.57,OSD-48,GC
Mmus_BAL-TAL_LVR_GC_Rep1_G1,9.65,OSD-137,GC
Mmus_BAL-TAL_LVR_GC_Rep2_G2,6.68,OSD-137,GC
Mmus_BAL-TAL_LVR_GC_Rep3_G3,21.84,OSD-137,GC
Mmus_BAL-TAL_LVR_GC_Rep6_G7,13.86,OSD-137,GC
Mmus_BAL-TAL_LVR_GC_Rep4_G5,3.82,OSD-137,GC
Mmus_BAL-TAL_LVR_GC_Rep5_G6,12.98,OSD-137,GC
Mmus_BAL-TAL_LVR_FLT_Rep1_F1,21.68,OSD-137,FLT
Mmus_BAL-TAL_LVR_FLT_Rep2_F2,21.92,OSD-137,FLT
Mmus_BAL-TAL_LVR_FLT_Rep3_F3,21.94,OSD-137,FLT
Mmus_BAL-TAL_LVR_FLT_Rep4_F4,13.62,OSD-137,FLT
Mmus_BAL-TAL_LVR_FLT_Rep5_F5,13.52,OSD-137,FLT
Mmus_BAL-TAL_LVR_FLT_Rep6_F6,15.6,OSD-137,FLT
Mmus_BAL-TAL_LVR_BSL_Rep1_B1,22.18,OSD-137,GC
Mmus_BAL-TAL_LVR_BSL_Rep2_B2,22.13,OSD-137,GC
Mmus_BAL-TAL_LVR_BSL_Rep3_B3,15.03,OSD-137,GC
Mmus_BAL-TAL_LVR_BSL_Rep4_B4,18.58,OSD-137,GC
Mmus_BAL-TAL_LVR_BSL_Rep5_B6,7.61,OSD-137,GC
Mmus_BAL-TAL_LVR_BSL_Rep6_B7,18.7,OSD-137,GC
