Gene,Weight
ENSMUSG00000117874,6115548.520187437
ENSMUSG00000075318,4941829.114308175
ENSMUSG00000111709,4358414.6649353625
ENSMUSG00000109564,4084837.2651529433
ENSMUSG00000094686,4009556.5843790094
ENSMUSG00000078901,3937099.439234708
ENSMUSG00000032323,3879130.0499565555
ENSMUSG00000049436,3792734.687838664
ENSMUSG00000041794,3772276.8371739
ENSMUSG00000035373,3749997.078079937
ENSMUSG00000027379,3636731.204799376
ENSMUSG00000027500,3608067.988604357
ENSMUSG00000022613,3576394.8171972577
ENSMUSG00000074183,3537087.658690896
ENSMUSG00000034918,3516368.873209692
ENSMUSG00000028587,3510219.0104090758
ENSMUSG00000027871,3499880.087441576
ENSMUSG00000022878,3490072.8197104787
ENSMUSG00000035352,3485939.919922156
ENSMUSG00000054083,3472446.931471661
